Metric,Mean,Median,Std,Min,Max,Range,Q1,Q3,IQR
PSNR,34.03125865710646,33.784836511182036,3.514780367573339,26.211978687709234,41.226482142631355,15.01450345492212,31.47400499017129,36.72501765478865,5.25101266461736
SSIM,0.9713489811275062,0.9767509961577359,0.017621083685818717,0.9167658987767195,0.9932680686424957,0.07650216986577618,0.9607965686541617,0.9853080465816889,0.02451147792752717
MAE,0.00406855857577406,0.003450800079146242,0.002437088917859771,0.000813223645578023,0.01104726355060253,0.010234039905024507,0.002217391269658905,0.0053802290773080075,0.0031628378076491025
