Image,PSNR,SSIM,MAE
Patient_023_4,32.04112482020032,0.9702668338447552,0.0036071777343749997
Patient_024_5,31.056258011401905,0.9725720946134006,0.0038913502412683833
Patient_024_6,33.99699939735063,0.9770324791138458,0.002700646095026552
Patient_025_4,31.22781284509136,0.9659775750050357,0.004319434072457108
Patient_025_5,30.81797438116808,0.9609814397915523,0.004929945203993056
Patient_025_6,30.26160002420179,0.9613073862768875,0.004857500861672794
Patient_026_1,35.05004880309272,0.9795082216785674,0.0023642346749897874
Patient_026_2,35.4104101099416,0.9794211937787121,0.0023078070746527777
Patient_026_3,37.77861958310844,0.9830549342616752,0.0016604554419424019
Patient_027_5,30.957341508441083,0.9642210227158343,0.007177315506280638
Patient_027_6,31.414350064772364,0.9715743138406174,0.00400643940844567
Patient_028_1,30.13664398577181,0.9750479580722867,0.004481556212979983
Patient_028_10,30.677193283257374,0.974787068756374,0.004143529156454248
Patient_028_8,27.711062714855302,0.9608474976673101,0.007524437997855391
Patient_028_9,31.39375634936696,0.9712080471342218,0.0046173095703124995
Patient_029_4,33.42807357162107,0.9718254885008054,0.003081956252553104
Patient_029_6,29.421879839630872,0.9715232864404434,0.004971752291411356
Patient_030_5,35.85577474852705,0.9769682566368353,0.0022652420343137252
Patient_030_6,35.83036513308884,0.984402862910398,0.0017352733736723856
Patient_030_7,35.22590720599284,0.9776687839079994,0.002371933880974265
Patient_031_4,34.59367736152381,0.9793209251765417,0.002434883865655637
Patient_032_1,33.68029551580931,0.9788131323338886,0.0025157255284926467
Patient_032_5,33.2382711144888,0.9799618691547227,0.002643460541768791
Patient_032_6,36.73568689454278,0.9855068673726072,0.0015358918632557188
